Name,Level,Cost,Time,Time (hours),Cost/h
Minion,2,3000,8h,8.0,375
Minion,3,7000,16h,16.0,438
Minion,4,15000,1d,24.0,625
Minion,5,25000,2d,48.0,521
Minion,6,35000,3d 12h,84.0,417
Minion,7,63000,5d,120.0,525
Minion,8,95000,9d,216.0,440
Minion,9,150000,10d,240.0,625
Minion,10,285000,15d 12h,372.0,766
Minion,11,310000,16d 12h,396.0,783
Hog Rider,2,5000,10h,10.0,500
Hog Rider,3,9000,20h,20.0,450
Hog Rider,4,16000,1d 6h,30.0,533
Hog Rider,5,30000,2d,48.0,625
Hog Rider,6,43000,3d 12h,84.0,512
Hog Rider,7,70000,5d 6h,126.0,556
Hog Rider,8,95000,7d,168.0,565
Hog Rider,9,150000,9d,216.0,694
Hog Rider,10,175000,10d,240.0,729
Hog Rider,11,305000,16d 6h,390.0,782
Valkyrie,2,8000,1d,24.0,333
Valkyrie,3,12000,2d,48.0,250
Valkyrie,4,25000,3d,72.0,347
Valkyrie,5,38000,4d 6h,102.0,373
Valkyrie,6,63000,5d 6h,126.0,500
Valkyrie,7,110000,7d,168.0,655
Valkyrie,8,155000,10d,240.0,646
Valkyrie,9,295000,16d 6h,390.0,756
Valkyrie,10,320000,17d,408.0,784
Golem,2,10000,1d 6h,30.0,333
Golem,3,20000,2d 12h,60.0,333
Golem,4,30000,3d 18h,90.0,333
Golem,5,43000,4d 6h,102.0,422
Golem,6,53000,5d,120.0,442
Golem,7,77000,5d 12h,132.0,583
Golem,8,100000,6d 12h,156.0,641
Golem,9,125000,9d,216.0,579
Golem,10,160000,10d,240.0,667
Golem,11,300000,16d,384.0,781
Golem,12,330000,17d,408.0,809
Witch,2,50000,4d,96.0,521
Witch,3,68000,4d 18h,114.0,596
Witch,4,90000,6d 18h,162.0,556
Witch,5,125000,9d,216.0,579
Witch,6,340000,17d 12h,420.0,810
Lava Hound,2,35000,2d 12h,60.0,583
Lava Hound,3,50000,4d 6h,102.0,490
Lava Hound,4,85000,6d 6h,150.0,567
Lava Hound,5,120000,9d,216.0,556
Lava Hound,6,160000,9d 12h,228.0,702
Bowler,2,65000,3d 12h,84.0,774
Bowler,3,88000,5d,120.0,733
Bowler,4,125000,7d 12h,180.0,694
Bowler,5,170000,9d,216.0,787
Bowler,6,305000,16d 18h,402.0,759
Bowler,7,335000,17d 12h,420.0,798
Ice Golem,2,55000,2d 20h,68.0,809
Ice Golem,3,85000,5d,120.0,708
Ice Golem,4,100000,6d 12h,156.0,641
Ice Golem,5,125000,8d,192.0,651
Ice Golem,6,305000,16d,384.0,794
Ice Golem,7,335000,17d,408.0,821
Headhunter,2,115000,9d,216.0,532
Headhunter,3,145000,10d,240.0,604
Apprentice Warden,2,180000,9d,216.0,833
Apprentice Warden,3,315000,16d 18h,402.0,784
Apprentice Warden,4,340000,17d 12h,420.0,810
Name,Level,Cost,Time,Time (hours),Cost/h
Monolith,1,300000,18d,432.0,694
Monolith,2,360000,19d,456.0,789
Name,Level,Cost,Time,Time (hours),Cost/h
Barbarian King,1,5000,-,-,-
Barbarian King,2,6000,4h,4.0,1500
Barbarian King,3,7000,6h,6.0,1167
Barbarian King,4,8000,8h,8.0,1000
Barbarian King,5,10000,10h,10.0,1000
Barbarian King,6,11000,12h,12.0,917
Barbarian King,7,12000,14h,14.0,857
Barbarian King,8,13000,16h,16.0,812
Barbarian King,9,14000,18h,18.0,778
Barbarian King,10,15000,20h,20.0,750
Barbarian King,11,17000,22h,22.0,773
Barbarian King,12,19000,1d,24.0,792
Barbarian King,13,21000,1d 8h,32.0,656
Barbarian King,14,23000,1d 16h,40.0,575
Barbarian King,15,25000,2d,48.0,521
Barbarian King,16,27000,2d,48.0,562
Barbarian King,17,29000,2d,48.0,604
Barbarian King,18,31000,2d,48.0,646
Barbarian King,19,33000,2d,48.0,688
Barbarian King,20,35000,2d 12h,60.0,583
Barbarian King,21,37000,2d 12h,60.0,617
Barbarian King,22,39000,2d 12h,60.0,650
Barbarian King,23,41000,2d 12h,60.0,683
Barbarian King,24,43000,2d 12h,60.0,717
Barbarian King,25,45000,3d,72.0,625
Barbarian King,26,47000,3d,72.0,653
Barbarian King,27,49000,3d,72.0,681
Barbarian King,28,51000,3d,72.0,708
Barbarian King,29,53000,3d,72.0,736
Barbarian King,30,55000,4d,96.0,573
Barbarian King,31,57000,4d,96.0,594
Barbarian King,32,59000,4d,96.0,615
Barbarian King,33,60000,4d,96.0,625
Barbarian King,34,62000,4d,96.0,646
Barbarian King,35,64000,4d 18h,114.0,561
Barbarian King,36,66000,4d 18h,114.0,579
Barbarian King,37,68000,4d 18h,114.0,596
Barbarian King,38,70000,4d 18h,114.0,614
Barbarian King,39,73000,4d 18h,114.0,640
Barbarian King,40,76000,5d 12h,132.0,576
Barbarian King,41,80000,5d 12h,132.0,606
Barbarian King,42,85000,5d 12h,132.0,644
Barbarian King,43,89000,5d 12h,132.0,674
Barbarian King,44,94000,5d 12h,132.0,712
Barbarian King,45,98000,5d 18h,138.0,710
Barbarian King,46,103000,5d 18h,138.0,746
Barbarian King,47,109000,5d 18h,138.0,790
Barbarian King,48,114000,5d 18h,138.0,826
Barbarian King,49,119000,5d 18h,138.0,862
Barbarian King,50,125000,5d 18h,138.0,906
Barbarian King,51,130000,6d 6h,150.0,867
Barbarian King,52,135000,6d 6h,150.0,900
Barbarian King,53,140000,6d 6h,150.0,933
Barbarian King,54,146000,6d 6h,150.0,973
Barbarian King,55,151000,6d 6h,150.0,1007
