Name,Level,Cost,Time,Time (hours),Cost/h
Cannon,1,250,10s,0.002777777777777778,90000
Cannon,2,1000,2m,0.03333333333333333,30000
Cannon,3,4000,10m,0.16666666666666666,24000
Cannon,4,16000,45m,0.75,21333
Cannon,5,50000,2h,2.0,25000
Cannon,6,100000,4h,4.0,25000
Cannon,7,200000,8h,8.0,25000
Cannon,8,300000,10h,10.0,30000
Cannon,9,500000,12h,12.0,41667
Cannon,10,700000,18h,18.0,38889
Cannon,11,1000000,1d,24.0,41667
Cannon,12,1200000,1d 6h,30.0,40000
Cannon,13,1700000,2d 6h,54.0,31481
Cannon,14,2100000,3d,72.0,29167
Cannon,15,3200000,4d 6h,102.0,31373
Cannon,16,4400000,5d 12h,132.0,33333
Cannon,17,5600000,7d 12h,180.0,31111
Cannon,18,6500000,9d,216.0,30093
Cannon,19,7800000,9d 12h,228.0,34211
Cannon,20,16500000,16d 6h,390.0,42308
Cannon,21,18000000,17d,408.0,44118
Archer Tower,1,1000,1m,0.016666666666666666,60000
Archer Tower,2,2000,15m,0.25,8000
Archer Tower,3,5000,45m,0.75,6667
Archer Tower,4,20000,3h,3.0,6667
Archer Tower,5,80000,5h,5.0,16000
Archer Tower,6,180000,8h,8.0,22500
Archer Tower,7,360000,10h,10.0,36000
Archer Tower,8,600000,12h,12.0,50000
Archer Tower,9,800000,14h,14.0,57143
Archer Tower,10,1000000,18h,18.0,55556
Archer Tower,11,1200000,1d,24.0,50000
Archer Tower,12,1500000,1d 6h,30.0,50000
Archer Tower,13,2000000,2d 6h,54.0,37037
Archer Tower,14,2500000,3d 12h,84.0,29762
Archer Tower,15,3500000,5d,120.0,29167
Archer Tower,16,4700000,5d 12h,132.0,35606
Archer Tower,17,6100000,7d 12h,180.0,33889
Archer Tower,18,6800000,9d,216.0,31481
Archer Tower,19,8000000,9d 12h,228.0,35088
Archer Tower,20,16500000,16d 6h,390.0,42308
Archer Tower,21,18500000,17d,408.0,45343
Mortar,1,5000,3h,3.0,1667
Mortar,2,25000,6h,6.0,4167
Mortar,3,100000,12h,12.0,8333
Mortar,4,200000,1d,24.0,8333
Mortar,5,400000,2d,48.0,8333
Mortar,6,750000,2d 12h,60.0,12500
Mortar,7,1500000,3d,72.0,20833
Mortar,8,2500000,3d 6h,78.0,32051
Mortar,9,3500000,4d 6h,102.0,34314
Mortar,10,4800000,5d 12h,132.0,36364
Mortar,11,5800000,7d 12h,180.0,32222
Mortar,12,6500000,8d 18h,210.0,30952
Mortar,13,8200000,9d 12h,228.0,35965
Mortar,14,16500000,17d,408.0,40441
Mortar,15,19000000,18d,432.0,43981
Air Defence,1,22000,3h,3.0,7333
Air Defence,2,90000,12h,12.0,7500
Air Defence,3,270000,16h,16.0,16875
Air Defence,4,500000,1d,24.0,20833
Air Defence,5,1000000,1d 12h,36.0,27778
Air Defence,6,1350000,2d,48.0,28125
Air Defence,7,1750000,3d,72.0,24306
Air Defence,8,3000000,4d 6h,102.0,29412
Air Defence,9,4200000,6d 6h,150.0,28000
Air Defence,10,5800000,8d 18h,210.0,27619
Air Defence,11,8400000,9d 12h,228.0,36842
Air Defence,12,17000000,17d,408.0,41667
Air Defence,13,19500000,18d,432.0,45139
Wizard Tower,1,120000,3h,3.0,40000
Wizard Tower,2,220000,8h,8.0,27500
Wizard Tower,3,420000,12h,12.0,35000
Wizard Tower,4,720000,18h,18.0,40000
Wizard Tower,5,920000,1d,24.0,38333
Wizard Tower,6,1200000,1d 12h,36.0,33333
Wizard Tower,7,2200000,2d,48.0,45833
Wizard Tower,8,2700000,3d,72.0,37500
Wizard Tower,9,3700000,5d 6h,126.0,29365
Wizard Tower,10,5200000,6d 12h,156.0,33333
Wizard Tower,11,7200000,9d,216.0,33333
Wizard Tower,12,9200000,9d 12h,228.0,40351
Wizard Tower,13,10200000,10d,240.0,42500
Wizard Tower,14,17200000,17d,408.0,42157
Wizard Tower,15,19200000,18d,432.0,44444
Air Sweeper,1,400000,6h,6.0,66667
Air Sweeper,2,700000,12h,12.0,58333
Air Sweeper,3,1100000,18h,18.0,61111
Air Sweeper,4,1500000,1d,24.0,62500
Air Sweeper,5,2000000,2d,48.0,41667
Air Sweeper,6,2500000,2d 12h,60.0,41667
Air Sweeper,7,4200000,3d 12h,84.0,50000
Hidden Tesla,1,300000,2h,2.0,150000
Hidden Tesla,2,450000,5h,5.0,90000
Hidden Tesla,3,650000,10h,10.0,65000
Hidden Tesla,4,850000,18h,18.0,47222
Hidden Tesla,5,1100000,1d,24.0,45833
Hidden Tesla,6,1300000,2d,48.0,27083
Hidden Tesla,7,1800000,3d,72.0,25000
Hidden Tesla,8,2100000,4d 6h,102.0,20588
Hidden Tesla,9,3100000,5d 12h,132.0,23485
Hidden Tesla,10,5000000,8d 18h,210.0,23810
Hidden Tesla,11,7700000,9d 12h,228.0,33772
Hidden Tesla,12,9000000,10d,240.0,37500
Hidden Tesla,13,17100000,17d,408.0,41912
Hidden Tesla,14,19100000,18d,432.0,44213
Bomb Tower,1,800000,1d,24.0,33333
Bomb Tower,2,1200000,1d 12h,36.0,33333
Bomb Tower,3,1800000,2d,48.0,37500
Bomb Tower,4,2600000,3d 12h,84.0,30952
Bomb Tower,5,3500000,4d 6h,102.0,34314
Bomb Tower,6,5000000,6d 6h,150.0,33333
Bomb Tower,7,6300000,9d,216.0,29167
Bomb Tower,8,8800000,10d,240.0,36667
Bomb Tower,9,17500000,17d,408.0,42892
Bomb Tower,10,20000000,18d,432.0,46296
X-Bow,1,1000000,2d,48.0,20833
X-Bow,2,1600000,4d,96.0,16667
X-Bow,3,2400000,5d,120.0,20000
X-Bow,4,3400000,5d 6h,126.0,26984
X-Bow,5,4900000,6d 6h,150.0,32667
X-Bow,6,6800000,9d,216.0,31481
X-Bow,7,8300000,9d 12h,228.0,36404
X-Bow,8,10300000,10d,240.0,42917
X-Bow,9,17400000,18d,432.0,40278
X-Bow,10,20000000,19d,456.0,43860
Inferno Tower,1,1700000,2d 12h,60.0,28333
Inferno Tower,2,2500000,3d 6h,78.0,32051
Inferno Tower,3,3800000,4d 6h,102.0,37255
Inferno Tower,4,4200000,5d,120.0,35000
Inferno Tower,5,5200000,6d 6h,150.0,34667
Inferno Tower,6,6500000,9d,216.0,30093
Inferno Tower,7,10500000,11d,264.0,39773
Inferno Tower,8,18000000,18d,432.0,41667
Inferno Tower,9,21000000,19d,456.0,46053
Eagle Artillery,1,6000000,5d,120.0,50000
Eagle Artillery,2,8000000,8d 12h,204.0,39216
Eagle Artillery,3,10000000,10d,240.0,41667
Eagle Artillery,4,13000000,13d,312.0,41667
Eagle Artillery,5,19000000,19d,456.0,41667
Eagle Artillery,6,21500000,20d,480.0,44792
Scattershot,1,11000000,11d,264.0,41667
Scattershot,2,12000000,12d,288.0,41667
Scattershot,3,18000000,18d,432.0,41667
Scattershot,4,21300000,19d 12h,468.0,45513
Builder's Hut,1,-,-,-,-
Builder's Hut,2,9000000,9d 12h,228.0,39474
Builder's Hut,3,12000000,11d 12h,276.0,43478
Builder's Hut,4,14500000,13d 6h,318.0,45597
Builder's Hut,5,17000000,14d 12h,348.0,48851
Spell Tower,1,14000000,14d,336.0,41667
Spell Tower,2,16000000,16d,384.0,41667
Spell Tower,3,18000000,18d,432.0,41667
Giga Telsa (TH12),1,-,-,-,-
Giga Telsa (TH12),2,3000000,1d 12h,36.0,83333
Giga Telsa (TH12),3,4200000,2d 18h,66.0,63636
Giga Telsa (TH12),4,5600000,4d 6h,102.0,54902
Giga Telsa (TH12),5,7000000,5d 12h,132.0,53030
Giga Inferno (TH13),1,-,-,-,-
Giga Inferno (TH13),2,7500000,4d 12h,108.0,69444
Giga Inferno (TH13),3,9000000,6d,144.0,62500
Giga Inferno (TH13),4,11200000,6d 12h,156.0,71795
Giga Inferno (TH13),5,13500000,8d 6h,198.0,68182
Giga Inferno (TH14),1,-,-,-,-
Giga Inferno (TH14),2,8500000,8d 12h,204.0,41667
Giga Inferno (TH14),3,10500000,10d 12h,252.0,41667
Giga Inferno (TH14),4,12300000,12d 6h,294.0,41837
Giga Inferno (TH14),5,14200000,13d 6h,318.0,44654
