Name,Total Upgrades,Total Cost,Total time (Hours),Gold/Hour
Grand Warden,64,685500000,8928,76781
Labratory,13,38280000,967,39586
Gold Storage,16,18548550,873,21237
P.E.K.K:A,9,51900000,1278,40610
Dark Elixir Drill,9,16000000,480,33333
Clan Castle,10,70300000,1778,39539
Balloon,9,42575000,1136,37478
Army Camp,12,43612200,1119,38963
Healer,7,50250000,1248,40264
Archer,10,45010000,1017,44258
Goblin,8,28520000,746,38231
Dragon,9,66800000,1668,40048
Gold Collector,15,2885550,340,8489
Giant,10,40490000,1104,36676
Wall Breaker,10,55050000,1311,41991
Wizard,10,44460000,1112,39982
Clone Spell,7,56000000,1404,39886
Pet House,8,147000000,3312,44384
Miner,8,63300000,1624,38978
Electro Dragon,5,60900000,1428,42647
Barbarian,10,42230000,1003,42104
Electro Titan,2,40000000,852,46948
Baby Dragon,8,58800000,1560,37692
Dark Elixir Storage,10,41450000,1146,36169
Invisibility Spell,3,22100000,528,41856
Dragon Rider,2,26100000,600,43500
Yeti,4,52100000,1248,41747
Workshop,7,69500000,1728,40220
Dark Barracks,10,42000000,1208,34768
Spell Factory,7,16750000,602,27824
Lightning Spell,9,31450000,1038,30299
Healing Spell,8,31725000,947,33501
Rage Spell,5,12200000,348,35057
Jump Spell,4,29100000,852,34155
Recall Spell,3,39000000,1068,36517
Barracks,16,49918100,1419,35174
Wall Wrecker,4,32300000,876,36872
Battle Blimp,3,17300000,480,36042
Stone Slammer,4,32300000,876,36872
Siege Barracks,3,20500000,564,36348
Log Launcher,3,19800000,588,33673
Flame Flinger,3,31400000,912,34430
Battle Drill,3,33000000,960,34375
Freeze Spell,6,23100000,722,31994
Dark Spell Factory,5,4750000,312,15224
