Name,Total Upgrades,Total Cost,Total time (Hours),Gold/Hour
Mortar,15,69780000,1995,34977
Elixir Collector,15,2885550,340,8489
Elixir Storage,16,18548550,873,21237
Town Hall,14,62430000,1198,52112
Bomb,10,19061000,646,29502
Air Bomb,9,25020000,754,33183
Archer Tower,21,74348000,1937,38383
Air Defence,13,62882000,1741,36118
Giant Bomb,8,31375000,960,32682
Spring Trap,4,2600000,138,18841
X-Bow,10,76100000,2112,36032
Hidden Tesla,14,69550000,1931,36018
Cannon,21,69871250,1891,36950
Wizard Tower,15,80400000,2027,39665
Inferno Tower,9,73400000,1878,39084
Bomb Tower,10,67500000,1740,38793
Seeking Air Mine,4,16700000,438,38128
Skeleton Trap,3,2850000,65,43846
Eagle Artillery,6,77500000,1812,42770
Builder's Hut,4,52500000,1170,44872
Air Sweeper,7,12400000,252,49206
Scattershot,4,62300000,1452,42906
Spell Tower,3,48000000,1152,41667
Giga Inferno (TH14),4,45500000,1068,42603
Giga Inferno (TH15),4,52000000,1128,46099
Tornado Trap,2,6300000,120,52500
Giga Telsa (TH12),4,19800000,336,58929
Giga Inferno (TH13),4,41200000,606,67987
