Name,Level,Cost,Time,Time (hours),Cost/h
Barbarian King,1,5000,-,-,-
Barbarian King,2,6000,4h,4.0,1500
Barbarian King,3,7000,6h,6.0,1167
Barbarian King,4,8000,8h,8.0,1000
Barbarian King,5,10000,10h,10.0,1000
Barbarian King,6,11000,12h,12.0,917
Barbarian King,7,12000,14h,14.0,857
Barbarian King,8,13000,16h,16.0,812
Barbarian King,9,14000,18h,18.0,778
Barbarian King,10,15000,20h,20.0,750
Barbarian King,11,17000,22h,22.0,773
Barbarian King,12,19000,1d,24.0,792
Barbarian King,13,21000,1d 8h,32.0,656
Barbarian King,14,23000,1d 16h,40.0,575
Barbarian King,15,25000,2d,48.0,521
Barbarian King,16,27000,2d,48.0,562
Barbarian King,17,29000,2d,48.0,604
Barbarian King,18,31000,2d,48.0,646
Barbarian King,19,33000,2d,48.0,688
Barbarian King,20,35000,2d 12h,60.0,583
Barbarian King,21,37000,2d 12h,60.0,617
Barbarian King,22,39000,2d 12h,60.0,650
Barbarian King,23,41000,2d 12h,60.0,683
Barbarian King,24,43000,2d 12h,60.0,717
Barbarian King,25,45000,3d,72.0,625
Barbarian King,26,47000,3d,72.0,653
Barbarian King,27,49000,3d,72.0,681
Barbarian King,28,51000,3d,72.0,708
Barbarian King,29,53000,3d,72.0,736
Barbarian King,30,55000,4d,96.0,573
Barbarian King,31,57000,4d,96.0,594
Barbarian King,32,59000,4d,96.0,615
Barbarian King,33,60000,4d,96.0,625
Barbarian King,34,62000,4d,96.0,646
Barbarian King,35,64000,4d 18h,114.0,561
Barbarian King,36,66000,4d 18h,114.0,579
Barbarian King,37,68000,4d 18h,114.0,596
Barbarian King,38,70000,4d 18h,114.0,614
Barbarian King,39,73000,4d 18h,114.0,640
Barbarian King,40,76000,5d 12h,132.0,576
Barbarian King,41,80000,5d 12h,132.0,606
Barbarian King,42,85000,5d 12h,132.0,644
Barbarian King,43,89000,5d 12h,132.0,674
Barbarian King,44,94000,5d 12h,132.0,712
Barbarian King,45,98000,5d 18h,138.0,710
Barbarian King,46,103000,5d 18h,138.0,746
Barbarian King,47,109000,5d 18h,138.0,790
Barbarian King,48,114000,5d 18h,138.0,826
Barbarian King,49,119000,5d 18h,138.0,862
Barbarian King,50,125000,5d 18h,138.0,906
Barbarian King,51,130000,6d 6h,150.0,867
Barbarian King,52,135000,6d 6h,150.0,900
Barbarian King,53,140000,6d 6h,150.0,933
Barbarian King,54,146000,6d 6h,150.0,973
Barbarian King,55,151000,6d 6h,150.0,1007
Barbarian King,56,158000,6d 6h,150.0,1053
Barbarian King,57,165000,6d 6h,150.0,1100
Barbarian King,58,172000,6d 6h,150.0,1147
Barbarian King,59,180000,6d 6h,150.0,1200
Barbarian King,60,187000,6d 6h,150.0,1247
Barbarian King,61,193000,6d 6h,150.0,1287
Barbarian King,62,200000,6d 6h,150.0,1333
Barbarian King,63,206000,6d 6h,150.0,1373
Barbarian King,64,211000,6d 6h,150.0,1407
Barbarian King,65,216000,6d 6h,150.0,1440
Barbarian King,66,225000,6d 18h,162.0,1389
Barbarian King,67,234000,6d 18h,162.0,1444
Barbarian King,68,243000,6d 18h,162.0,1500
Barbarian King,69,252000,6d 18h,162.0,1556
Barbarian King,70,261000,7d 6h,174.0,1500
Barbarian King,71,267000,7d 6h,174.0,1534
Barbarian King,72,270000,7d 6h,174.0,1552
Barbarian King,73,279000,7d 6h,174.0,1603
Barbarian King,74,284000,7d 6h,174.0,1632
Barbarian King,75,289000,7d 6h,174.0,1661
Barbarian King,76,300000,8d,192.0,1562
Barbarian King,77,305000,8d,192.0,1589
Barbarian King,78,310000,8d,192.0,1615
Barbarian King,79,315000,8d,192.0,1641
Barbarian King,80,320000,8d,192.0,1667
Barbarian King,81,330000,8d,192.0,1719
Barbarian King,82,335000,8d,192.0,1745
Barbarian King,83,340000,8d,192.0,1771
Barbarian King,84,345000,8d,192.0,1797
Barbarian King,85,350000,8d,192.0,1823
Barbarian King,86,352000,8d,192.0,1833
Barbarian King,87,354000,8d,192.0,1844
Barbarian King,88,356000,8d,192.0,1854
Barbarian King,89,358000,8d,192.0,1865
Barbarian King,90,360000,8d,192.0,1875
Archer Queen,1,10000,-,-,-
Archer Queen,2,11000,4h,4.0,2750
Archer Queen,3,12000,6h,6.0,2000
Archer Queen,4,13000,8h,8.0,1625
Archer Queen,5,15000,10h,10.0,1500
Archer Queen,6,16000,12h,12.0,1333
Archer Queen,7,17000,14h,14.0,1214
Archer Queen,8,18000,16h,16.0,1125
Archer Queen,9,19000,18h,18.0,1056
Archer Queen,10,20000,20h,20.0,1000
Archer Queen,11,22000,22h,22.0,1000
Archer Queen,12,24000,1d,24.0,1000
Archer Queen,13,26000,1d 8h,32.0,812
Archer Queen,14,28000,1d 16h,40.0,700
Archer Queen,15,30000,2d,48.0,625
Archer Queen,16,32000,2d,48.0,667
Archer Queen,17,34000,2d,48.0,708
Archer Queen,18,36000,2d,48.0,750
Archer Queen,19,38000,2d,48.0,792
Archer Queen,20,40000,2d 12h,60.0,667
Archer Queen,21,42000,2d 12h,60.0,700
Archer Queen,22,44000,2d 12h,60.0,733
Archer Queen,23,46000,2d 12h,60.0,767
Archer Queen,24,48000,2d 12h,60.0,800
Archer Queen,25,50000,3d,72.0,694
Archer Queen,26,52000,3d,72.0,722
Archer Queen,27,54000,3d,72.0,750
Archer Queen,28,56000,3d,72.0,778
Archer Queen,29,58000,3d,72.0,806
Archer Queen,30,60000,4d,96.0,625
Archer Queen,31,63000,4d,96.0,656
Archer Queen,32,65000,4d,96.0,677
Archer Queen,33,67000,4d,96.0,698
Archer Queen,34,69000,4d,96.0,719
Archer Queen,35,72000,4d 18h,114.0,632
Archer Queen,36,74000,4d 18h,114.0,649
Archer Queen,37,77000,4d 18h,114.0,675
Archer Queen,38,79000,4d 18h,114.0,693
Archer Queen,39,82000,4d 18h,114.0,719
Archer Queen,40,84000,5d 12h,132.0,636
Archer Queen,41,89000,5d 12h,132.0,674
Archer Queen,42,93000,5d 12h,132.0,705
Archer Queen,43,97000,5d 12h,132.0,735
Archer Queen,44,101000,5d 12h,132.0,765
Archer Queen,45,106000,5d 18h,138.0,768
Archer Queen,46,111000,5d 18h,138.0,804
Archer Queen,47,116000,5d 18h,138.0,841
Archer Queen,48,122000,5d 18h,138.0,884
Archer Queen,49,127000,5d 18h,138.0,920
Archer Queen,50,132000,5d 18h,138.0,957
