Name,Level,Cost,Time,Time (hours),Cost/h
L.A.S.S.I,2,115000,3d,72.0,1597
L.A.S.S.I,3,130000,4d,96.0,1354
L.A.S.S.I,4,145000,5d,120.0,1208
L.A.S.S.I,5,160000,5d 12h,132.0,1212
L.A.S.S.I,6,175000,6d,144.0,1215
L.A.S.S.I,7,190000,6d 12h,156.0,1218
L.A.S.S.I,8,205000,7d,168.0,1220
L.A.S.S.I,9,220000,7d 12h,180.0,1222
L.A.S.S.I,10,235000,8d,192.0,1224
L.A.S.S.I,11,250000,8d,192.0,1302
L.A.S.S.I,12,260000,8d,192.0,1354
L.A.S.S.I,13,270000,8d,192.0,1406
L.A.S.S.I,14,280000,8d,192.0,1458
L.A.S.S.I,15,290000,8d,192.0,1510
Electro Owl,2,135000,3d,72.0,1875
Electro Owl,3,150000,4d,96.0,1562
Electro Owl,4,165000,5d,120.0,1375
Electro Owl,5,180000,5d 12h,132.0,1364
Electro Owl,6,195000,6d,144.0,1354
Electro Owl,7,210000,6d 12h,156.0,1346
Electro Owl,8,225000,7d,168.0,1339
Electro Owl,9,240000,7d 12h,180.0,1333
Electro Owl,10,255000,8d,192.0,1328
Mighty Yak,2,165000,3d,72.0,2292
Mighty Yak,3,185000,4d,96.0,1927
Mighty Yak,4,205000,5d,120.0,1708
Mighty Yak,5,225000,5d 12h,132.0,1705
Mighty Yak,6,245000,6d,144.0,1701
Mighty Yak,7,255000,6d 12h,156.0,1635
Mighty Yak,8,265000,7d,168.0,1577
Mighty Yak,9,275000,7d 12h,180.0,1528
Mighty Yak,10,285000,8d,192.0,1484
Mighty Yak,11,290000,8d,192.0,1510
Mighty Yak,12,295000,8d,192.0,1536
Mighty Yak,13,300000,8d,192.0,1562
Mighty Yak,14,305000,8d,192.0,1589
Mighty Yak,15,310000,8d,192.0,1615
Unicorn,2,210000,3d,72.0,2917
Unicorn,3,220000,4d,96.0,2292
Unicorn,4,230000,5d,120.0,1917
Unicorn,5,240000,5d 12h,132.0,1818
Unicorn,6,250000,6d,144.0,1736
Unicorn,7,260000,6d 12h,156.0,1667
Unicorn,8,270000,7d,168.0,1607
Unicorn,9,280000,7d 12h,180.0,1556
Unicorn,10,290000,8d,192.0,1510
Frosty,2,215000,3d,72.0,2986
Frosty,3,225000,4d,96.0,2344
Frosty,4,235000,5d,120.0,1958
Frosty,5,245000,5d 12h,132.0,1856
Frosty,6,255000,6d,144.0,1771
Frosty,7,265000,6d 12h,156.0,1699
Frosty,8,275000,7d,168.0,1637
Frosty,9,285000,7d 12h,180.0,1583
Frosty,10,295000,8d,192.0,1536
Diggy,2,220000,3d,72.0,3056
Diggy,3,230000,4d,96.0,2396
Diggy,4,240000,5d,120.0,2000
Diggy,5,250000,5d 12h,132.0,1894
Diggy,6,260000,6d,144.0,1806
Diggy,7,270000,6d 12h,156.0,1731
Diggy,8,280000,7d,168.0,1667
Diggy,9,290000,7d 12h,180.0,1611
Diggy,10,300000,8d,192.0,1562
Posion Lizard,2,225000,3d,72.0,3125
Posion Lizard,3,235000,4d,96.0,2448
Posion Lizard,4,245000,5d,120.0,2042
Posion Lizard,5,255000,5d 12h,132.0,1932
Posion Lizard,6,265000,6d,144.0,1840
Posion Lizard,7,275000,6d 12h,156.0,1763
Posion Lizard,8,285000,7d,168.0,1696
Posion Lizard,9,295000,7d 12h,180.0,1639
Posion Lizard,10,305000,8d,192.0,1589
Phoenix,2,230000,3d,72.0,3194
Phoenix,3,240000,4d,96.0,2500
Phoenix,4,250000,5d,120.0,2083
Phoenix,5,260000,5d 12h,132.0,1970
Phoenix,6,270000,6d,144.0,1875
Phoenix,7,280000,6d 12h,156.0,1795
Phoenix,8,290000,7d,168.0,1726
Phoenix,9,300000,7d 12h,180.0,1667
Phoenix,10,310000,8d,192.0,1615
