Name,Level,Cost,Time,Time (hours),Cost/h
Barbarian,1,-,-,-,-
Barbarian,2,20000,2h,2.0,10000
Barbarian,3,60000,5h,5.0,12000
Barbarian,4,200000,12h,12.0,16667
Barbarian,5,650000,1d,24.0,27083
Barbarian,6,1400000,1d 12h,36.0,38889
Barbarian,7,2100000,2d 12h,60.0,35000
Barbarian,8,2800000,3d,72.0,38889
Barbarian,9,5000000,6d,144.0,34722
Barbarian,10,14000000,13d,312.0,44872
Barbarian,11,16000000,14d,336.0,47619
Archer,1,-,-,-,-
Archer,2,30000,3h,3.0,10000
Archer,3,80000,6h,6.0,13333
Archer,4,300000,12h,12.0,25000
Archer,5,800000,1d,24.0,33333
Archer,6,2000000,1d 12h,36.0,55556
Archer,7,2500000,2d 12h,60.0,41667
Archer,8,3200000,3d 12h,84.0,38095
Archer,9,5600000,6d,144.0,38889
Archer,10,14500000,13d,312.0,46474
Archer,11,16000000,14d,336.0,47619
Giant,1,-,-,-,-
Giant,2,40000,4h,4.0,10000
Giant,3,150000,8h,8.0,18750
Giant,4,500000,12h,12.0,41667
Giant,5,1200000,1d,24.0,50000
Giant,6,2000000,2d,48.0,41667
Giant,7,3000000,3d 12h,84.0,35714
Giant,8,3500000,5d 12h,132.0,26515
Giant,9,5600000,8d,192.0,29167
Giant,10,8000000,9d,216.0,37037
Giant,11,16500000,16d,384.0,42969
Goblin,1,-,-,-,-
Goblin,2,45000,5h,5.0,9000
Goblin,3,175000,9h,9.0,19444
Goblin,4,500000,12h,12.0,41667
Goblin,5,1200000,1d,24.0,50000
Goblin,6,2000000,1d 12h,36.0,55556
Goblin,7,3000000,3d 12h,84.0,35714
Goblin,8,5600000,7d,168.0,33333
Goblin,9,16000000,17d,408.0,39216
Wall Breaker,1,-,-,-,-
Wall Breaker,2,100000,6h,6.0,16667
Wall Breaker,3,250000,12h,12.0,20833
Wall Breaker,4,600000,18h,18.0,33333
Wall Breaker,5,1200000,1d,24.0,50000
Wall Breaker,6,2500000,2d 3h,51.0,49020
Wall Breaker,7,4200000,3d 12h,84.0,50000
Wall Breaker,8,6500000,6d 12h,156.0,41667
Wall Breaker,9,8000000,9d,216.0,37037
Wall Breaker,10,15200000,15d,360.0,42222
Wall Breaker,11,16500000,16d,384.0,42969
Balloon,1,-,-,-,-
Balloon,2,125000,8h,8.0,15625
Balloon,3,400000,12h,12.0,33333
Balloon,4,800000,18h,18.0,44444
Balloon,5,1500000,1d,24.0,62500
Balloon,6,2750000,3d 12h,84.0,32738
Balloon,7,4500000,5d 6h,126.0,35714
Balloon,8,7000000,9d,216.0,32407
Balloon,9,8500000,10d,240.0,35417
Balloon,10,17000000,17d,408.0,41667
Wizard,1,-,-,-,-
Wizard,2,120000,8h,8.0,15000
Wizard,3,320000,12h,12.0,26667
Wizard,4,620000,18h,18.0,34444
Wizard,5,1200000,1d,24.0,50000
Wizard,6,2200000,2d,48.0,45833
Wizard,7,3500000,3d 12h,84.0,41667
Wizard,8,5000000,5d 6h,126.0,39683
Wizard,9,5800000,8d,192.0,30208
Wizard,10,8500000,9d,216.0,39352
Wizard,11,17200000,16d,384.0,44792
Healer,1,-,-,-,-
Healer,2,450000,12h,12.0,37500
Healer,3,900000,1d,24.0,37500
Healer,4,2700000,2d,48.0,56250
Healer,5,4200000,7d,168.0,25000
Healer,6,8000000,8d 12h,204.0,39216
Healer,7,16000000,16d,384.0,41667
Healer,8,18000000,17d,408.0,44118
Dragon,1,-,-,-,-
Dragon,2,1000000,18h,18.0,55556
Dragon,3,2000000,1d 12h,36.0,55556
Dragon,4,3000000,3d,72.0,41667
Dragon,5,3800000,5d 6h,126.0,30159
Dragon,6,4900000,5d 12h,132.0,37121
Dragon,7,6300000,9d,216.0,29167
Dragon,8,8800000,9d 12h,228.0,38596
Dragon,9,17500000,17d,408.0,42892
Dragon,10,19500000,18d,432.0,45139
P.E.K.K:A,1,-,-,-,-
P.E.K.K:A,2,1200000,12h,12.0,100000
P.E.K.K:A,3,1800000,1d,24.0,75000
P.E.K.K:A,4,2800000,2d,48.0,58333
P.E.K.K:A,5,3200000,3d 12h,84.0,38095
P.E.K.K:A,6,4200000,4d 18h,114.0,36842
P.E.K.K:A,7,5200000,6d,144.0,36111
P.E.K.K:A,8,7000000,9d,216.0,32407
P.E.K.K:A,9,8500000,10d,240.0,35417
P.E.K.K:A,10,18000000,16d 12h,396.0,45455
Baby Dragon,1,-,-,-,-
Baby Dragon,2,2000000,2d,48.0,41667
Baby Dragon,3,2500000,3d 12h,84.0,29762
Baby Dragon,4,3400000,5d,120.0,28333
Baby Dragon,5,4200000,6d 6h,150.0,28000
Baby Dragon,6,5500000,7d 12h,180.0,30556
Baby Dragon,7,7200000,8d 12h,204.0,35294
Baby Dragon,8,16000000,15d 18h,378.0,42328
Baby Dragon,9,18000000,16d 12h,396.0,45455
Miner,1,-,-,-,-
Miner,2,2500000,2d 4h,52.0,48077
Miner,3,3200000,3d 12h,84.0,38095
Miner,4,3800000,4d,96.0,39583
Miner,5,5000000,7d,168.0,29762
Miner,6,5800000,8d,192.0,30208
Miner,7,8000000,10d,240.0,33333
Miner,8,16500000,16d,384.0,42969
Miner,9,18500000,17d,408.0,45343
Electro Dragon,1,-,-,-,-
Electro Dragon,2,6300000,5d 12h,132.0,47727
Electro Dragon,3,7000000,9d,216.0,32407
Electro Dragon,4,9600000,10d,240.0,40000
Electro Dragon,5,18000000,17d,408.0,44118
Electro Dragon,6,20000000,18d,432.0,46296
Yeti,1,-,-,-,-
Yeti,2,7000000,7d,168.0,41667
