Name,Level,Cost,Time,Time (hours),Cost/h
Army Camp,1,200,5m,0.08333333333333333,2400
Army Camp,2,2000,15m,0.25,8000
Army Camp,3,10000,2h,2.0,5000
Army Camp,4,100000,5h,5.0,20000
Army Camp,5,250000,8h,8.0,31250
Army Camp,6,750000,12h,12.0,62500
Army Camp,7,1500000,2d,48.0,31250
Army Camp,8,2500000,3d,72.0,34722
Army Camp,9,4200000,6d 6h,150.0,28000
Army Camp,10,5700000,8d 18h,210.0,27143
Army Camp,11,9600000,9d 12h,228.0,42105
Army Camp,12,19000000,16d,384.0,49479
Barracks,1,100,10s,0.002777777777777778,36000
Barracks,2,500,1m,0.016666666666666666,30000
Barracks,3,2500,10m,0.16666666666666666,15000
Barracks,4,5000,1h,1.0,5000
Barracks,5,20000,8h,8.0,2500
Barracks,6,120000,12h,12.0,10000
Barracks,7,270000,18h,18.0,15000
Barracks,8,800000,1d,24.0,33333
Barracks,9,1200000,1d 12h,36.0,33333
Barracks,10,1700000,2d 12h,60.0,28333
Barracks,11,2600000,4d,96.0,27083
Barracks,12,3700000,5d 12h,132.0,28030
Barracks,13,6500000,7d 12h,180.0,36111
Barracks,14,8000000,9d,216.0,37037
Barracks,15,10000000,10d 12h,252.0,39683
Barracks,16,15000000,16d,384.0,39062
Dark Barracks,1,200000,8h,8.0,25000
Dark Barracks,2,600000,1d,24.0,25000
Dark Barracks,3,1000000,1d 12h,36.0,27778
Dark Barracks,4,1600000,2d,48.0,33333
Dark Barracks,5,2200000,3d 12h,84.0,26190
Dark Barracks,6,2900000,4d 12h,108.0,26852
Dark Barracks,7,4000000,6d 12h,156.0,25641
Dark Barracks,8,7500000,8d,192.0,39062
Dark Barracks,9,9000000,10d,240.0,37500
Dark Barracks,10,13000000,13d,312.0,41667
Labratory,1,5000,1m,0.016666666666666666,300000
Labratory,2,25000,1h,1.0,25000
Labratory,3,50000,2h,2.0,25000
Labratory,4,100000,4h,4.0,25000
Labratory,5,200000,8h,8.0,25000
Labratory,6,400000,16h,16.0,25000
Labratory,7,800000,1d,24.0,33333
Labratory,8,1300000,1d 18h,42.0,30952
Labratory,9,2100000,2d 18h,66.0,31818
Labratory,10,3800000,4d,96.0,39583
Labratory,11,5500000,6d,144.0,38194
Labratory,12,11500000,11d 12h,276.0,41667
Labratory,13,12500000,12d,288.0,43403
Spell Factory,1,150000,8h,8.0,18750
Spell Factory,2,300000,1d,24.0,12500
Spell Factory,3,600000,2d,48.0,12500
Spell Factory,4,1200000,3d 12h,84.0,14286
Spell Factory,5,2000000,4d 6h,102.0,19608
Spell Factory,6,3500000,5d,120.0,29167
Spell Factory,7,9000000,9d,216.0,41667
Dark Spell Factory,1,150000,6h,6.0,25000
Dark Spell Factory,2,300000,18h,18.0,16667
Dark Spell Factory,3,600000,2d,48.0,12500
Dark Spell Factory,4,1200000,4d,96.0,12500
Dark Spell Factory,5,2500000,6d,144.0,17361
Workshop,1,3000000,4d,96.0,31250
Workshop,2,5000000,5d,120.0,41667
Workshop,3,7000000,7d,168.0,41667
Workshop,4,9000000,10d,240.0,37500
Workshop,5,10000000,11d,264.0,37879
Workshop,6,16500000,17d,408.0,40441
Workshop,7,19000000,18d,432.0,43981
Pet House,1,14000000,12d 6h,294.0,47619
Pet House,2,16500000,14d 6h,342.0,48246
Pet House,3,17500000,16d,384.0,45573
Pet House,4,18500000,18d,432.0,42824
Pet House,5,19750000,19d,456.0,43311
Pet House,6,20000000,19d 6h,462.0,43290
Pet House,7,20250000,19d 12h,468.0,43269
Pet House,8,20500000,19d 18h,474.0,43249
