Name,Level,Cost,Time,Time (hours),Cost/h
Town Hall,1,-,-,-,-
Town Hall,2,1000,10s,0.002777777777777778,360000
Town Hall,3,4000,1h,1.0,4000
Town Hall,4,25000,3h,3.0,8333
Town Hall,5,150000,6h,6.0,25000
Town Hall,6,750000,12h,12.0,62500
Town Hall,7,1000000,18h,18.0,55556
Town Hall,8,2000000,1d,24.0,83333
Town Hall,9,3000000,2d,48.0,62500
Town Hall,10,3500000,2d 12h,60.0,58333
Town Hall,11,4000000,2d 18h,66.0,60606
Town Hall,12,6000000,4d 6h,102.0,58824
Town Hall,13,9000000,7d 12h,180.0,50000
Town Hall,14,15000000,13d 6h,318.0,47170
Town Hall,15,18000000,15d,360.0,50000
